url,domain,title,date,clean_text,label,label_reason
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-8-juni-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (8 Juni 2025)",2025-06-08,"minggu (8 juni 2025) grafik harga emas 24 karat antam menunjukkan harga emas hari ini tetap rp 1.904.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga masih rp 1.748.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 156.000 per gram.",Neutral,"Berita ini hanya melaporkan harga emas yang tetap, yang bukan merupakan komponen signifikan atau langsung dalam perhitungan Indeks Harga Konsumen (CPI)."
https://investasi.kontan.co.id/news/begini-cara-beli-emas-antam-logam-mulia-harga-emas-antam-hari-ini-rp-1960000,investasi.kontan.co.id,"Begini Cara Beli Emas Antam Logam Mulia, Harga Emas Antam Hari Ini Rp 1.960.000",2025-04-28,"harga emas antam hari ini senin, 28 april 2025 mengalami kenaikan. untuk itu, simak cara membeli emas antam logam mulia. mengutip website logam mulia, harga emas antam per 1 gram rp 1.960.000 hari ini 28 april 2025. harga emas antam turun rp 5.000 dibandingkan hari kemarin. untuk anda yang ingin investasi emas antam logam mulia, cara membelinya pun relatif mudah dilakukan.",Neutral,"Berita ini hanya melaporkan perubahan harga emas, yang tidak secara langsung mencerminkan kondisi inflasi atau deflasi pada Indeks Harga Konsumen (CPI) secara umum."
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-28-maret-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (28 Maret 2025)",2025-03-28,"jumat (28 maret 2025), grafik harga emas 24 karat antam menunjukkan harga emas hari ini naik rp 16.000 per gram, dari sebelumnya rp 1.776.000 per gram menjadi rp 1.792.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga emas hari ini naik rp 16.000 per gram, dari sebelumnya rp 1.627.000 per gram menjadi rp 1.643.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 149.000 per gram. selama ini antam menetapkan dua macam harga emas batangan produksinya: harga emas dan harga beli kembali (buyback).",Neutral,"Berita ini hanya melaporkan kenaikan harga emas, yang bukan merupakan komponen utama dalam mengukur inflasi konsumen pada Indeks Harga Konsumen (CPI)."
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-18-april-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (18 April 2025)",2025-04-18,"jumat (18 april 2025) grafik harga emas 24 karat antam menunjukkan harga emas hari ini turun rp 10.000 per gram, dari sebelumnya rp 1.975.000 per gram menjadi rp 1.965.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga turun rp 10.000 per gram, dari sebelumnya rp 1.824.000 per gram menjadi rp 1.814.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 151.000 per gram. selama ini antam menetapkan dua macam harga emas batangan produksinya: harga emas dan harga beli kembali (buyback).",Neutral,"Berita ini hanya melaporkan penurunan harga emas, yang tidak secara langsung mencerminkan perubahan inflasi atau deflasi pada Indeks Harga Konsumen (CPI)."
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-13-mei-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (13 Mei 2025)",2025-05-13,"selasa (13 mei 2025) grafik harga emas 24 karat antam menunjukkan harga emas hari ini turun rp 21.000 per gram, dari sebelumnya rp 1.905.000 per gram menjadi rp 1.884.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga turun rp 22.000 per gram, dari sebelumnya rp 1.754.000 per gram menjadi rp 1.732.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 152.000 per gram.",Neutral,"Berita ini hanya melaporkan penurunan harga emas, yang tidak secara langsung relevan untuk analisis inflasi Indeks Harga Konsumen (CPI)."
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-9-mei-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (9 Mei 2025)",2025-05-09,"jumat (9 mei 2025) grafik harga emas 24 karat antam menunjukkan harga emas hari ini turun rp 27.000 per gram, dari sebelumnya rp 1.953.000 per gram menjadi rp 1.926.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga turun rp 27.000 per gram, dari sebelumnya rp 1.802.000 per gram menjadi rp 1.775.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 151.000 per gram.",Neutral,"Hanya laporan penurunan harga emas batangan sebagai aset investasi, bukan komponen langsung Indeks Harga Konsumen (CPI)."
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-27-juli-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (27 Juli 2025)",2025-07-27,"minggu (27 juli 2025) hingga pukul 09.15 wib informasi harga emas batangan bersertifikat di laman resmi logam mulia pt aneka tambang belum mengalami perubahan dari data kemarin. harga yang tertera masih hasil pembaruan sehari sebelumnya sabtu (26 juli 2025), yaitu ukuran 1 gram berlabel harga rp 1.915.000 per gram. di lain sisi, harga buyback oleh logam mulia juga tetap rp 1.761.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 154.000 per gram.",Neutral,"Hanya laporan harga emas batangan yang tidak berubah, tidak mengindikasikan tekanan inflasi atau deflasi pada CPI."
https://insight.kontan.co.id/news/harga-emas-logam-mulia-antam-bisa-menembus-rp-225-juta,insight.kontan.co.id,"Harga Emas Logam Mulia Antam Bisa Menembus Rp 2,25 Juta",2025-09-06,"harga emas logam mulia aneka tambang (antam) kembali memecah rekor tertinggi sepanjang masa alias all time high (ath) pada kamis (4/9). melansir laman logam mulia, harga satu gram emas antam kini sebesar rp 2,04 juta per gram atau naik rp 9.000 ketimbang sehari sebelumnyan. angka ini mengalahkan rekor pada 23 april 2025 yang tercatat rp 2,039 per gram.",Neutral,"Hanya laporan kenaikan harga emas batangan sebagai aset investasi, bukan komponen langsung Indeks Harga Konsumen (CPI)."
https://insight.kontan.co.id/news/inflasi-dibayangi-kenaikan-harga-non-pangan,insight.kontan.co.id,Inflasi Dibayangi Kenaikan Harga Non Pangan,2025-05-03,"laju inflasi pada bulan april 2025 melandai, namun masih berada di level yang tinggi. selain tarif listrik, kenaikan harga komoditas emas perhiasan, menjadi biang keroknya. berdasarkan data badan pusat statistik (bps), inflasi bulanan april 2025 tercatat sebesar 1,17%, lebih rendah dari bulan sebelumnya yang mencapai 1,65%. sementara itu, inflasi tahunan april 2025 tercatat sebesar 1,95%, naik dari bulan sebelumnya yang mencapai 1,03%.",Inflation,Berita ini secara langsung membahas laju inflasi CPI dan menyebut kenaikan harga emas perhiasan sebagai salah satu pendorongnya.
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-5-mei-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (5 Mei 2025)",2025-05-05,"senin (5 mei 2025) grafik harga emas 24 karat antam menunjukkan harga emas hari ini naik rp 3.000 per gram, dari sebelumnya rp 1.902.000 per gram menjadi rp 1.905.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga naik rp 3.000 per gram, dari sebelumnya rp 1.751.000 per gram menjadi rp 1.754.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 151.000 per gram.",Neutral,"Hanya laporan kenaikan harga emas batangan sebagai aset investasi, bukan komponen langsung Indeks Harga Konsumen (CPI)."
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-30-maret-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (30 Maret 2025)",2025-03-30,"minggu (30 maret 2025), grafik harga emas 24 karat antam menunjukkan harga emas hari ini tetap rp 1.806.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga emas hari ini juga masih rp 1.657.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 149.000 per gram. selama ini antam menetapkan dua macam harga emas batangan produksinya: harga emas dan harga beli kembali (buyback).",Neutral,Laporan harga emas yang tetap tidak menunjukkan tekanan inflasi atau deflasi pada Indeks Harga Konsumen.
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-23-maret-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (23 Maret 2025)",2025-03-23,"minggu (23 maret 2025), grafik harga emas 24 karat antam menunjukkan harga emas hari ini tetap rp 1.764.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga emas hari ini tur tetap rp 1.615.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 149.000 per gram. selama ini antam menetapkan dua macam harga emas batangan produksinya: harga emas dan harga beli kembali (buyback).",Neutral,Laporan harga emas yang tetap tidak menunjukkan tekanan inflasi atau deflasi pada Indeks Harga Konsumen.
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-naik-atau-turun-16-april-2025,pusatdata.kontan.co.id,"Grafik Harga Emas Antam, Hari Ini Naik atau Turun? (16 April 2025)",2025-04-16,"rabu (16 april 2025) grafik harga emas 24 karat antam menunjukkan harga emas hari ini naik rp 20.000 per gram, dari sebelumnya rp 1.896.000 per gram menjadi rp 1.916.000 per gram. di lain sisi grafik harga emas antam 24 karat buyback oleh logam mulia juga menunjukkan harga naik rp 20.000 per gram, dari sebelumnya rp 1.745.000 per gram menjadi rp 1.765.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 151.000 per gram. selama ini antam menetapkan dua macam harga emas batangan produksinya: harga emas dan harga beli kembali (buyback).",Neutral,Kenaikan harga emas sebagai aset investasi tidak secara langsung mencerminkan perubahan Indeks Harga Konsumen (CPI) tanpa konteks lebih luas.
https://finansial.kontan.co.id/news/harga-emas-hari-ini-di-pegadaian-sabtu-279-antam-ubs-dan-galeri-24-naik,finansial.kontan.co.id,"Harga Emas Hari Ini di Pegadaian Sabtu (27/9) Antam, UBS dan GALERI 24 Naik",2025-09-27,"catat harga emas hari ini di pegadaian terbaru hari sabtu (27/9/2025) terdapat produk antam, galeri 24 dan ubs mengalami kenaikan. harga emas di pegadaian hari ini untuk jenis galeri 24 dengan ukuran 0,5 gram naik dan dibanderol dengan harga rp 1.135.000. harga emas galeri 24 di pegadaian tersebut naik rp 1.000 dari hari jumat kemarin. sedangkan, harga emas ubs di pegadaian naik dan saat ini dijual dengan harga rp 1.193.000 untuk ukuran 0,5 gram.",Neutral,Kenaikan harga emas di Pegadaian sebagai aset investasi tidak secara langsung memengaruhi Indeks Harga Konsumen (CPI) barang dan jasa konsumsi.
https://industri.kontan.co.id/news/aprindo-pastikan-stok-beras-di-ritel-mulai-kembali-normal,industri.kontan.co.id,APRINDO Pastikan Stok Beras di Ritel Mulai Kembali Normal,2025-08-20,"asosiasi pengusaha ritel indonesia (aprindo) mengakui pasokan beras di ritel sempat mengalami perlambatan seiring arahan penarikan sejumlah merek. namun, produsen kini telah kembali melakukan produksi dengan harga yang disesuaikan. ketua umum aprindo solihin memastikan beras-beras yang sebelumnya telah teridentifikasi tak sesuai dengan standar mutu sempat diturunkan dari display. namun, setelahnya tetap dijual dengan pengurangan harga sesuai kesepakatan.",Deflation,Adanya penjualan beras dengan pengurangan harga mengindikasikan tekanan deflasi pada salah satu komponen penting Indeks Harga Konsumen (CPI).
https://insight.kontan.co.id/news/harga-pangan-naik-penyakit-lama-yang-muncul-jelang-bulan-puasa,insight.kontan.co.id,"Harga Pangan Naik, Penyakit Lama yang Muncul Jelang Bulan Puasa",2025-03-02,"merogoh kocek lebih dalam buat urusan dapur, ini yang harus elmina lakukan menjelang bulan puasa. harga sejumlah bahan pangan merangkak naik. yang paling kentara, harga daging sapi. ibu rumahtangga yang tinggal di dumai, riau, ini mengungkapkan, harga daging sapi naik, dari sebelumnya rp 125.000 per kg menjadi rp 135.000.",Inflation,"Kenaikan harga sejumlah bahan pangan, termasuk daging sapi, secara langsung menaikkan biaya hidup rumah tangga dan berkontribusi pada tekanan inflasi."
https://momsmoney.kontan.co.id/news/harga-emas-dunia-tergelincir-setelah-naik-tajam-pasar-antisipasi-data-amerika,momsmoney.kontan.co.id,"Harga Emas Dunia Tergelincir Setelah Naik Tajam, Pasar Antisipasi Data Amerika",2025-06-03,"harga emas hari ini di pasar global merosot, karena dollar as menguat jelang rilis data tenaga kerja negara uncle sam pada akhir minggu ini. mengutip bloomberg, selasa (3/6) pukul 13.40 wib, harga emas spot diperdagangkan di level us$ 3.359,15 per troi ons, turun 0,66% dibandingkan penutupan sesi kemarin. harga logam mulia hari ini turun, setelah kemarin mencetak kenaikan harian terbesar dalam empat minggu, lantaran dollar as jatuh ke level terendah sejak 2023. ada beberapa sinyal terobosan dalam negosiasi dagang dengan dua mitra dagang terbesar amerika, namun ada kekhawatiran yang meningkat atas kebijakan trump dan dampaknya terhadap ekonomi global.",Neutral,"Pergerakan harga emas global, yang dipengaruhi oleh faktor eksternal seperti nilai tukar dolar AS dan sentimen pasar, tidak secara langsung mencerminkan tekanan inflasi atau deflasi pada Indeks Harga Konsumen di Indonesia."
https://pusatdata.kontan.co.id/news/grafik-harga-emas-antam-hari-ini-20-oktober-2025-naik-atau-turun,pusatdata.kontan.co.id,"Grafik Harga Emas Antam Hari Ini (20 Oktober 2025), Naik atau Turun?",2025-10-20,"senin (20/10) harga emas batangan bersertifikat di laman resmi logam mulia pt aneka tambang turun rp 2.186.500 per gram, dari sebelumnya rp 2.428.000 per gram menjadi rp 241.500 per gram. begitu pula dengan harga buyback emas antam oleh logam mulia juga turun rp 13.000 per gram, dari sebelumnya rp 2.277.000 per gram menjadi rp 2.264.000 per gram. dengan demikian, selisih antara harga emas dan harga buyback hari ini adalah rp 151.000 per gram. selama ini antam menetapkan dua macam harga emas batangan produksinya: harga emas dan harga beli kembali (buyback).",Neutral,Penurunan harga emas batangan Antam lebih berkaitan dengan pasar investasi komoditas dan tidak memiliki dampak langsung yang signifikan terhadap Indeks Harga Konsumen barang dan jasa yang dikonsumsi masyarakat.
