url,domain,title,date,clean_text
https://www.cnnindonesia.com/nasional/20231203130722-617-1032227/gibran-blusukan-ke-pasar-rawasari-harga-cabai-agak-mahal,cnnindonesia.com,Gibran Blusukan ke Pasar Rawasari: Harga Cabai Agak Mahal,2023-12-03,"Cawapres nomor urut 2, Gibran Rakabuming Raka blusukan ke Pasar Rawasari Jakarta Pusat, Minggu (3/12) usai menemui warga di car free day (CFD) Jakarta pagi ini. Pantauan .com, Gibran datang ke Pasar Rawasari bersama istrinya, Selvi Ananda pukul 10.20 WIB menggunakan Toyota Innova berwarna hitam. Setibanya ia di pasar, Gibran tetap membagikan susu kemasan kotak kepada pengunjung dan pedagang pasar. Ia juga sempat membeli sejumlah barang dagangan seperti cabai, kacang, tahu hingga durian. Ia merasa aneh harga cabai di Pasar Rawasari cukup tinggi menjelang ganti tahun. ""Tadi kita cek beberapa harga ya terutama cabai ya, agak naik. Tadi kita belanja beberapa ini juga buah-buahan sayur. Tapi yang paling menonjol itu cabai ya, cabai agak mahal di Rp95 ribu. mungkin akhir-akhir tahun ya,"" kata dia. Usai berbelanja, sejumlah warga berbondong-bondong meminta swafoto bersama putra sulung Presiden Joko Widodo itu. KPU RI menetapkan tiga pasangan calon presiden dan wakil presiden menjadi peserta Pemilu Presiden dan Wakil Presiden (Pilpres) 2024. Hasil Pengundian dan penetapan nomor urut peserta Pilpres 2024 pada Selasa, (14/11), pasangan Anies Baswedan-Muhaimin Iskandar nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka nomor urut 2, dan Ganjar Pranowo-Mahfud MD nomor urut 3. KPU juga telah menetapkan masa kampanye mulai 28 November 2023 hingga 10 Februari 2024. Kemudian, jadwal pemungutan suara pada 14 Februari 2024. (can/mik)"
https://www.cnnindonesia.com/nasional/20200430183543-32-499060/mpr-ingatkan-bahaya-inflasi-jika-ngotot-cetak-uang-baru,cnnindonesia.com,MPR Ingatkan Bahaya Inflasi Jika Ngotot Cetak Uang Baru,2020-04-30,"Wakil Ketua MPR dari Fraksi Partai Demokrat, Syarief Hasan, mengingatkan pemerintah harus berhati-hati mencetak uang baru di tengah pandemi virus corona (Covid-19) karena dapat mendorong inflasi. Menurutnya, kebijakan tersebut bisa merugikan sektor perekonomian negara serta masyarakat karena berdampak pada kenaikan harga barang dan penurunan nilai uang. ""Saya mengingatkan pemerintah untuk berhati-hati dalam rencana untuk mencetak uang baru yang akan mendorong inflasi yang tinggi dan mengakibatkan rakyat akan semakin kehilangan daya beli,"" kata Syarief lewat pesan singkat, Kamis (30/4)."
https://www.cnnindonesia.com/ekonomi/20180927092011-532-333587/pede-ekonomi-as-tumbuh-alasan-the-fed-kerek-bunga-acuan,cnnindonesia.com,"'Pede' Ekonomi AS Tumbuh, Alasan The Fed Kerek Bunga Acuan",2018-09-27,"The Federal Reserve ( The Fed) percaya diri ekonomi Amerika Serikat (AS) masih akan bertumbuh setidaknya dalam tiga tahun ke depan. Hal ini yang menjadi alasan bank sentral AS tersebut mempertahankan kebijakan moneter ketat dengan menaikkan kembali suku bunga acuannya. The Fed menaikkan bunga acuannya 25 basis poin (bps) ke kisaran 2 - 2,25 persen. Kenaikan itu tercatat yang ketiga kalinya di sepanjang tahun ini. Diperkirakan, bunga acuan The Fed masih akan naik satu kali lagi pada akhir tahun ini, tiga kenaikan pada 2019, dan satu kenaikan pada 2020 mendatang. Kebijakan moneter ketat The Fed memang diproyeksi masih akan berjalan sampai 2021 mendatang. ""Hal-hal yang harus diperhatikan orang-orang, yang perlu dilakukan dan akan dilakukan ke depan ialah menghapus kata 'akomodatif' dalam kebijakan moneter mereka,"" terang Michael Arone, Kepala Strategi Investasi State Street Global Advisors, mengutip Reuters, Kamis (27/9)."
https://www.cnnindonesia.com/nasional/20231202110912-617-1031930/pedagang-pasar-inpres-ntt-curhat-ke-ganjar-harga-sembako-naik,cnnindonesia.com,Pedagang Pasar Inpres NTT Curhat ke Ganjar Harga Sembako Naik,2023-12-02,"Calon presiden nomor urut 3 Ganjar Pranowo menyempatkan diri blusukan ke Pasar Inpres Naikoten I, Kota Kupang, Nusa Tenggara Timur (NTT), Sabtu (2/12) pagi. Kunjungan itu dilakukan ganjar di sela-sela agenda selama berada NTT. Selama blusukan di pasar, Ganjar sempat berbincang dengan para pedagang terkait harga kebutuhan pokok, seperti gula hingga beras. ""Bagaimana harga bahan pokok hari ini? Apa yang lagi naik?"" tanya Ganjar seperti dikutip Antara. Seorang pedagang menjawab bahwa harga gula sedang naik. ""Harga gula lagi naik,"" jawab Hasni, salah seorang pedagang di Pasar Inpres Naikoten I. ""Oh, gula sedang naik ya,"" Ganjar menanggapi. Tak hanya itu, capres berambut putih tersebut juga mendatangi pedagang lainnya. Kali ini, dia berdiskusi dengan pedagang bernama Siprimisa. ""Bagaimana harga cabai?"" tanya Ganjar. ""Sekarang Rp55.000,"" jawab Siprimisa. Bukan sekadar berbincang, mantan gubernur Jawa Tengah itu pun ikut membeli cabai dan tomat yang dijual Siprimisa. Sebagai pedagang yang sehari-hari berjualan di Pasar Inpres Naikoten I, Kupang, Siprimisa merasa senang karena bisa berdialog langsung dengan Ganjar. ""Senang sekali. Ternyata, orangnya merakyat sekali. Apalagi dia tidak hanya nanya saja, tetapi juga membeli,"" ungkap Siprmisa. Tak hanya berbincang-bincang, Ganjar juga terlihat memborong sayur-sayuran hingga gula dari para pedagang di pasar itu. Menurut Ganjar, berdasarkan hasil dialog dengan beberapa pedagang, dia mencatat ada beberapa harga bahan pokok yang masih melambung, antara lain beras dan gula. ""Sebenarnya, yang paling banyak dirasakan oleh masyarakat kemarin harga, ya. Maka, tadi kami ngecek ke pasar. Kami ambil sampel kemarin berasnya masih naik kurang lebih Rp1.000, lalu gula pasir juga naik begitu,"" jelas Ganjar. Dengan kondisi demikian, Ganjar menilai hal itu mesti dikendalikan supaya harga-harga itu tidak membuat masyarakat menjadi kesulitan. ""Dan itu saja yang segera mesti dikendalikan,"" ujar Ganjar. (antara/rds)"
https://www.cnnindonesia.com/ekonomi/20190108083200-78-359184/rupiah-gagah-perkasa-ke-rp14049-per-dolar-as,cnnindonesia.com,Rupiah 'Gagah Perkasa' ke Rp14.049 per Dolar AS,2019-01-08,"Nilai tukar rupiah berada di posisi Rp14.049 per dolar AS pada perdagangan pasar spot Selasa pagi (8/1). Posisi ini menguat 34 poin atau 0,24 persen dari Senin (7/1) di Rp14.082 per dolar AS. Di kawasan Asia, rupiah menguat bersama peso Filipina 0,15 persen, ringgit Malaysia 0,09 persen, dan won Korea Selatan 0,02 persen. Sementara, mata uang Asia lainnya justru bersandar di zona merah. Dolar Singapura melemah 0,01 persen, yen Jepang minus 0,01 persen, dolar Hong Kong minus 0,03 persen, dan baht Thailand 0,11 persen."
https://www.cnnindonesia.com/ekonomi/20190124163504-78-363517/rupiah-menguat-terbatas-ke-rp14130-lawan-dolar-as,cnnindonesia.com,Rupiah Menguat Terbatas ke Rp14.130 Lawan Dolar AS,2019-01-24,"Nilai tukar rupiah tercatat menyentuh posisi Rp14.130 per dolar AS pada perdagangan pasar spot Kamis (24/1) sore. Posisi ini menguat 0,41 persen dibandingkan penutupan pada Rabu (23/1), yakni Rp14.188 per dolar AS. Sementara itu, kurs referensi Bank Indonesia Jakarta Interbank Spot Dollar Rate (JISDOR) menempatkan rupiah di kisaran Rp14.141, atau menguat dibandingkan kemarin, yakni Rp14.188 per dolar AS. Selain rupiah, beberapa mata uang utama Asia lainnya juga ikut menguat terhadap dolar AS. Rupee India tercatat menguat 0,15 persen dan dolar Taiwan menguat 0,01 persen."
https://www.cnnindonesia.com/ekonomi/20190207063136-532-367017/darmin-pendapatan-per-kapita-naik-tak-jamin-jadi-negara-maju,cnnindonesia.com,Darmin: Pendapatan Per Kapita Naik Tak Jamin Jadi Negara Maju,2019-02-07,"Menteri Koordinator Bidang Perekonomian Darmin Nasution menilai kenaikan tingkat pendapatan per kapita atau rata-rata pendapatan masyarakat Indonesia belum menjadi jaminan untuk menjadi negara maju. Berdasarkan data Badan Pusat Statistik (BPS), pendapatan per kapita masyarakat Indonesia sebesar Rp56 juta atau US$3.927 per tahun pada 2018. Angka pendapatan ini meningkat dari Rp51,89 juta atau US$3.876,8 per tahun pada 2017 dan membuat Indonesia naik ke kategori negara berpendapatan menengah ke atas. Saat ini, Bank Dunia membagi negara-negara dalam empat kategori, yakni kelompok negara berpendapatan rendah dengan pendapatan per kapita per tahun sebesar US$995 ke bawah."
https://www.cnnindonesia.com/ekonomi/20190401084326-78-382432/jelang-rilis-inflasi-rupiah-menguat-rp14225-per-dolar-as,cnnindonesia.com,"Jelang Rilis Inflasi, Rupiah Menguat Rp14.225 per Dolar AS",2019-04-01,"Nilai tukar rupiah berada di posisi Rp14.225 per dolar Amerika Serikat ( AS) pada perdagangan pasar spot Senin (1/4) pagi. Dengan demikian, rupiah menguat tipis 0,12 persen dibandingkan perdagangan pada Jumat (29/3) sore sebesar Rp14.242 per dolar AS. Pagi ini, sebagian besar mata uang utama Asia menguat terhadap dolar AS. Dolar Hong Kong menguat 0,01 persen, disusul oleh peso Filipina sebesar 0,02 persen, ringgit Malaysia 0,13 persen, dolar Singapura 0,14 persen, won Korea Selatan 0,16 persen, dan baht Thailand 0,17 persen. Di sisi lain, terdapat pula mata uang yang melemah seperti yen Jepang 0,2 persen. Adapun, pergerakan mata uang utama negara maju bervariasi terhadap dolar AS. Poundsterling Inggris melemah 0,1 persen sementara euro dan dolar Australia masing-masing menguat 0,07 persen dan 0,29 persen."
https://www.cnnindonesia.com/ekonomi/20190408144051-532-384272/luhut-sindir-balik-prabowo-soal-pertumbuhan-ekonomi,cnnindonesia.com,Luhut Sindir Balik Prabowo soal Pertumbuhan Ekonomi,2019-04-08,"Menteri Koordinator Bidang Kemaritiman Luhut Binsar Panjaitan menyindir balik calon presiden Prabowo Subianto terkait pernyataannya soal pertumbuhan ekonomi. Luhut menegaskan pertumbuhan ekonomi saat ini adalah capaian bagus di tengah penurunan harga komoditas dan gejolak global. ""Jadi kalau ada yang bilang 'pertumbuhan ekonomi 5 persen bagus itu ndasmu,' ya yang ngomong itu yang ndasmu,"" katanya, Senin (8/4). Prabowo dalam orasi politiknya pada pekan lalu menyindir pemerintah kerap membanggakan pertumbuhan ekonomi sebesar lima persen. Padahal, menurut dia, pertumbuhan ekonomi itu tak pernah dirasakan masyarakat."
https://www.cnnindonesia.com/ekonomi/20190509164016-78-393477/perang-dagang-dan-rilis-transaksi-berjalan-tekan-kurs-rupiah,cnnindonesia.com,Perang Dagang dan Rilis transaksi Berjalan Tekan kurs Rupiah,2019-05-09,"Nilai tukar rupiah berada di posisi Rp14.363 per dolar Amerika Serikat (AS) pada perdagangan pasar spot Kamis (9/5). Dengan demikian, rupiah melemah 0,48 persen dibandingkan penutupan Rabu (8/5) yakni Rp14.295 per dolar AS. Sementara itu, kurs referensi Bank Indonesia (BI) Jakarta Interbank Spot Dollar Rate (JISDOR) menempatkan rupiah di posisi Rp14.338 per dolar AS atau melemah dibanding kemarin yakni Rp14.305 per dolar AS. Adapun pada hari ini, rupiah bergerak dalam rentang Rp14.306 hingga Rp14.370 per dolar AS. Sore hari ini, sebagian besar mata uang Asia menunjukkan pelemahan terhadap dolar AS. Won Korea Selatan melemah 0,86 persen, yuan China melemah 0,56 persen, rupee India melemah 0,33 persen, dan peso Filipina melemah 0,27 persen. Kemudian, ringgit Malaysia melemah 0,12 persen dan dolar Singapura melemah 0,11 persen."
